unit,section_name,section_number,section_type,river_mile,channel
23,Hatchery Riffle,1,permanent,1,LFC
24,Hatchery Riffle,1,permanent,1,LFC
25,Hatchery Riffle,1,permanent,1,LFC
19,Hatchery Riffle,1,permanent,1,LFC
26,Hatchery Ditch,2,permanent,1,LFC
28,Hatchery Ditch,3,permanent,1,LFC
33,Hatchery Ditch,2,permanent,1,LFC
29,Auditorium Riffle,4,permanent,1,LFC
30,Auditorium Riffle,4,permanent,1,LFC
31,Auditorium Riffle,4,permanent,1,LFC
32,Auditorium Riffle,4,permanent,1,LFC
55,Bedrock Riffle,5,permanent,2,LFC
56,Bedrock Riffle,5,permanent,2,LFC
96,Trailer Park Riffle,6,permanent,3,LFC
97,Trailer Park Riffle,6,permanent,3,LFC
98,Trailer Park Riffle,6,permanent,3,LFC
103,Matthews Riffle,7,permanent,3,LFC
104,Matthews Riffle,7,permanent,3,LFC
105,Matthews Riffle,7,permanent,3,LFC
119,Aleck Riffle,8,permanent,4,LFC
120,Aleck Riffle,8,permanent,4,LFC
169,Robinson Riffle,9,permanent,6,LFC
170,Robinson Riffle,9,permanent,6,LFC
171,Robinson Riffle,9,permanent,6,LFC
173,Robinson Riffle,9,permanent,6,LFC
174,Robinson Riffle,9,permanent,6,LFC
175,Robinson Riffle,9,permanent,6,LFC
185,Steep Riffle,10,permanent,7,LFC
189,Steep Riffle,10,permanent,7,LFC
215A,Eye Riffle,11,permanent,7,LFC
216,Eye Riffle,11,permanent,7,LFC
215B,Eye Riffle,11,permanent,7,LFC
217,Eye Riffle,11,permanent,7,LFC
210,Eye Riffle,11,permanent,7,LFC
221,Gateway Riffle,12,permanent,8,LFC
225,Gateway Riffle,12,permanent,8,LFC
226,Gateway Riffle,12,permanent,8,LFC
229,Gateway Riffle,12,permanent,8,LFC
228,Gateway Riffle,12,permanent,8,LFC
268,Vance Riffle,13,permanent,9,HFC
266,Vance Riffle,13,permanent,9,HFC
323A,G95,14,permanent,10,HFC
323B,G95,14,permanent,10,HFC
402,Kiester Riffle,15,permanent,13,HFC
403,Kiester Riffle,15,permanent,13,HFC
397,Kiester Riffle,15,permanent,12,HFC
408,Goose Riffle,16,permanent,13,HFC
424,Big Riffle,17,permanent,14,HFC
426,Big Riffle,17,permanent,14,HFC
441,McFarland,18,permanent,15,HFC
445,McFarland,18,permanent,15,HFC
450,McFarland,18,permanent,15,HFC
486,Gridley Riffle,19,permanent,18,HFC
487,Gridley Riffle,19,permanent,18,HFC
499,Junkyard Riffle,20,permanent,19,HFC
502,Junkyard Riffle,20,permanent,19,HFC
29A,NA,NA,random,1,LFC
27,NA,NA,random,1,LFC
172,NA,NA,random,6,LFC
31A,NA,NA,random,1,LFC
177,NA,NA,random,6,LFC
183,NA,NA,random,6,LFC
267,NA,NA,random,9,HFC
21,NA,NA,random,1,LFC
20,NA,NA,random,1,LFC
200,NA,NA,random,7,LFC
215,NA,NA,random,7,LFC
352,NA,NA,random,11,HFC
355,NA,NA,random,11,HFC
356,NA,NA,random,11,HFC
358,NA,NA,random,11,HFC
362,NA,NA,random,11,HFC
370,NA,NA,random,11,HFC
365,NA,NA,random,11,HFC
405,NA,NA,random,13,HFC
406,NA,NA,random,13,HFC
407,NA,NA,random,13,HFC
410,NA,NA,random,13,HFC
446,NA,NA,random,15,HFC
448,NA,NA,random,15,HFC
451,NA,NA,random,15,HFC
452,NA,NA,random,15,HFC
176,NA,NA,random,6,LFC
121,NA,NA,random,4,LFC
124,NA,NA,random,4,LFC
126,NA,NA,random,4,LFC
127,NA,NA,random,4,LFC
122,NA,NA,random,4,LFC
224,NA,NA,random,8,LFC
413,NA,NA,random,13,HFC
409,NA,NA,random,13,HFC
411,NA,NA,random,13,HFC
453,NA,NA,random,15,HFC
205,NA,NA,random,7,LFC
100,NA,NA,random,3,LFC
178,NA,NA,random,6,LFC
121A,NA,NA,random,4,LFC
54,NA,NA,random,2,LFC
165,NA,NA,random,6,LFC
192,NA,NA,random,7,LFC
191,NA,NA,random,7,LFC
297,NA,NA,random,10,HFC
306,NA,NA,random,10,HFC
299,NA,NA,random,10,HFC
329,NA,NA,random,10,HFC
335,NA,NA,random,11,HFC
331,NA,NA,random,10,HFC
330,NA,NA,random,10,HFC
334,NA,NA,random,11,HFC
102,NA,NA,random,3,LFC
108,NA,NA,random,4,LFC
197,NA,NA,random,7,LFC
207,NA,NA,random,7,LFC
233,NA,NA,random,8,LFC
236,NA,NA,random,8,LFC
269,NA,NA,random,9,HFC
270,NA,NA,random,9,HFC
271,NA,NA,random,9,HFC
273,NA,NA,random,9,HFC
274,NA,NA,random,9,HFC
276,NA,NA,random,9,HFC
278,NA,NA,random,9,HFC
282,NA,NA,random,9,HFC
284,NA,NA,random,9,HFC
288,NA,NA,random,9,HFC
296,NA,NA,random,10,HFC
303,NA,NA,random,10,HFC
304,NA,NA,random,10,HFC
309,NA,NA,random,10,HFC
310,NA,NA,random,10,HFC
166,NA,NA,random,6,LFC
179,NA,NA,random,6,LFC
22,NA,NA,random,1,LFC
46,NA,NA,random,1,LFC
39,NA,NA,random,1,LFC
42,NA,NA,random,1,LFC
59,NA,NA,random,2,LFC
1,NA,NA,random,1,LFC
5,NA,NA,random,1,LFC
10,NA,NA,random,1,LFC
8,NA,NA,random,1,LFC
35,NA,NA,random,1,LFC
34,NA,NA,random,1,LFC
38,NA,NA,random,1,LFC
6,NA,NA,random,1,LFC
7,NA,NA,random,1,LFC
9,NA,NA,random,1,LFC
51,NA,NA,random,2,LFC
52,NA,NA,random,2,LFC
449,NA,NA,random,15,HFC
412,NA,NA,random,13,HFC
180,NA,NA,random,6,LFC
125,NA,NA,random,4,LFC
484,NA,NA,random,18,HFC
485,NA,NA,random,18,HFC
388,NA,NA,random,12,HFC
328,NA,NA,random,10,HFC
364,NA,NA,random,11,HFC
367,NA,NA,random,11,HFC
361,NA,NA,random,11,HFC
454,NA,NA,random,15,HFC
123,NA,NA,random,4,LFC
193,NA,NA,random,7,LFC
337,NA,NA,random,11,HFC
198,NA,NA,random,7,LFC
199,NA,NA,random,7,LFC
208,NA,NA,random,7,LFC
241,NA,NA,random,8,LFC
275,NA,NA,random,9,HFC
283,NA,NA,random,9,HFC
295,NA,NA,random,10,HFC
305,NA,NA,random,10,HFC
311,NA,NA,random,10,HFC
37,NA,NA,random,1,LFC
12,NA,NA,random,1,LFC
11,NA,NA,random,1,LFC
50,NA,NA,random,2,LFC
483,NA,NA,random,18,HFC
308,NA,NA,random,10,HFC
272,NA,NA,random,9,HFC
290,NA,NA,random,9,HFC
387,NA,NA,random,12,HFC
336,NA,NA,random,11,HFC
213,NA,NA,random,7,LFC
237,NA,NA,random,8,LFC
36,NA,NA,random,1,LFC
359,NA,NA,random,11,HFC
289,NA,NA,random,9,HFC
294,NA,NA,random,10,HFC
500,NA,NA,random,19,HFC
107,NA,NA,random,4,LFC
106,NA,NA,random,4,LFC
227,NA,NA,random,8,LFC
HGSC,NA,NA,random,NA,NA
HPRL,NA,NA,random,NA,NA
CF,NA,NA,random,NA,NA
BRB,NA,NA,random,NA,NA
HTPSC,NA,NA,random,NA,NA
UHSC,NA,NA,random,NA,NA
