section_name,section_type,channel_type,section_number,unit,river_mile,latitude,longitude
NA,NA,HFC,NA,395,12,38.93282719,-121.58184511
NA,NA,HFC,NA,396,12,38.93282719,-121.58184511
NA,NA,HFC,NA,398,12,38.93282719,-121.58184511
NA,NA,HFC,NA,399,12,38.93282719,-121.58184511
NA,NA,HFC,NA,400,12,38.93282719,-121.58184511
NA,NA,HFC,NA,404,13,38.94749994,-121.57877344
NA,NA,HFC,NA,415,13,38.94749994,-121.57877344
NA,NA,HFC,NA,416,13,38.94749994,-121.57877344
NA,NA,HFC,NA,417,13,38.94749994,-121.57877344
NA,NA,HFC,NA,419,13,38.94749994,-121.57877344
NA,NA,HFC,NA,420,13,38.94749994,-121.57877344
NA,NA,HFC,NA,421,13,38.94749994,-121.57877344
NA,NA,HFC,NA,423,13,38.94749994,-121.57877344
NA,NA,HFC,NA,425,14,38.95966364,-121.5808984
NA,NA,HFC,NA,427,14,38.95966364,-121.5808984
NA,NA,HFC,NA,428,14,38.95966364,-121.5808984
NA,NA,HFC,NA,429,14,38.95966364,-121.5808984
NA,NA,HFC,NA,431,14,38.95966364,-121.5808984
NA,NA,HFC,NA,432,14,38.95966364,-121.5808984
NA,NA,HFC,NA,433,14,38.95966364,-121.5808984
NA,NA,HFC,NA,435,14,38.95966364,-121.5808984
NA,NA,HFC,NA,436,15,38.97272228,-121.58722812
NA,NA,HFC,NA,437,15,38.97272228,-121.58722812
NA,NA,HFC,NA,439,15,38.97272228,-121.58722812
NA,NA,HFC,NA,440,15,38.97272228,-121.58722812
NA,NA,HFC,NA,443,15,38.97272228,-121.58722812
NA,NA,HFC,NA,444,15,38.97272228,-121.58722812
NA,NA,HFC,NA,447,15,38.97272228,-121.58722812
NA,NA,HFC,NA,455,15,38.97272228,-121.58722812
NA,NA,HFC,NA,456,15,38.97272228,-121.58722812
NA,NA,HFC,NA,457,15,38.97272228,-121.58722812
NA,NA,HFC,NA,459,16,38.98539571,-121.5883151
NA,NA,HFC,NA,460,16,38.98539571,-121.5883151
NA,NA,HFC,NA,461,16,38.98539571,-121.5883151
NA,NA,HFC,NA,463,16,38.98539571,-121.5883151
NA,NA,HFC,NA,464,16,38.98539571,-121.5883151
NA,NA,HFC,NA,465,16,38.98539571,-121.5883151
NA,NA,HFC,NA,467,17,38.99908664,-121.58381954
NA,NA,HFC,NA,468,17,38.99908664,-121.58381954
NA,NA,HFC,NA,469,17,38.99908664,-121.58381954
NA,NA,HFC,NA,471,17,38.99908664,-121.58381954
NA,NA,HFC,NA,472,17,38.99908664,-121.58381954
NA,NA,HFC,NA,473,17,38.99908664,-121.58381954
NA,NA,HFC,NA,475,17,38.99908664,-121.58381954
NA,NA,HFC,NA,476,18,39.00985902,-121.58391379
NA,NA,HFC,NA,477,18,39.00985902,-121.58391379
NA,NA,HFC,NA,479,18,39.00985902,-121.58391379
NA,NA,HFC,NA,480,18,39.00985902,-121.58391379
NA,NA,HFC,NA,481,18,39.00985902,-121.58391379
NA,NA,HFC,NA,488,18,39.00985902,-121.58391379
NA,NA,HFC,NA,489,18,39.00985902,-121.58391379
NA,NA,HFC,NA,491,18,39.00985902,-121.58391379
NA,NA,HFC,NA,492,18,39.00985902,-121.58391379
NA,NA,HFC,NA,493,18,39.00985902,-121.58391379
NA,NA,HFC,NA,495,18,39.00985902,-121.58391379
NA,NA,HFC,NA,496,19,39.0141441,-121.59928344
NA,NA,HFC,NA,497,19,39.0141441,-121.59928344
NA,NA,HFC,NA,501,19,39.0141441,-121.59928344
NA,NA,HFC,NA,503,19,39.0141441,-121.59928344
NA,NA,HFC,NA,504,19,39.0141441,-121.59928344
NA,NA,HFC,NA,505,19,39.0141441,-121.59928344
NA,NA,HFC,NA,507,19,39.0141441,-121.59928344
NA,NA,HFC,NA,508,19,39.0141441,-121.59928344
NA,NA,HFC,NA,509,19,39.0141441,-121.59928344
NA,NA,HFC,NA,511,20,39.02679078,-121.59815789
NA,NA,HFC,NA,512,20,39.02679078,-121.59815789
NA,NA,HFC,NA,513,20,39.02679078,-121.59815789
NA,NA,HFC,NA,515,20,39.02679078,-121.59815789
NA,NA,HFC,NA,516,20,39.02679078,-121.59815789
NA,NA,HFC,NA,517,20,39.02679078,-121.59815789
NA,NA,HFC,NA,519,20,39.02679078,-121.59815789
NA,NA,HFC,NA,520,20,39.02679078,-121.59815789
NA,NA,HFC,NA,521,20,39.02679078,-121.59815789
NA,NA,HFC,NA,523,20,39.02679078,-121.59815789
NA,NA,HFC,NA,524,20,39.02679078,-121.59815789
NA,NA,HFC,NA,525,20,39.02679078,-121.59815789
NA,NA,HFC,NA,527,21,39.0388432,-121.60781445
NA,NA,HFC,NA,528,21,39.0388432,-121.60781445
NA,NA,HFC,NA,529,21,39.0388432,-121.60781445
NA,NA,HFC,NA,531,21,39.0388432,-121.60781445
NA,NA,HFC,NA,532,21,39.0388432,-121.60781445
NA,NA,HFC,NA,533,21,39.0388432,-121.60781445
NA,NA,HFC,NA,535,21,39.0388432,-121.60781445
NA,NA,HFC,NA,536,21,39.0388432,-121.60781445
NA,NA,HFC,NA,537,21,39.0388432,-121.60781445
NA,NA,HFC,NA,539,21,39.0388432,-121.60781445
NA,NA,HFC,NA,540,21,39.0388432,-121.60781445
NA,NA,HFC,NA,541,21,39.0388432,-121.60781445
NA,NA,LFC,NA,3,1,38.79804387,-121.63278671
NA,NA,LFC,NA,15,1,38.79804387,-121.63278671
NA,NA,LFC,NA,40,1,38.79804387,-121.63278671
NA,NA,LFC,NA,44,1,38.79804387,-121.63278671
NA,NA,LFC,NA,48,1,38.79804387,-121.63278671
NA,NA,LFC,NA,60,2,38.81166697,-121.63628457
NA,NA,LFC,NA,64,2,38.81166697,-121.63628457
NA,NA,LFC,NA,68,2,38.81166697,-121.63628457
NA,NA,LFC,NA,72,2,38.81166697,-121.63628457
NA,NA,LFC,NA,76,2,38.81166697,-121.63628457
NA,NA,LFC,NA,80,3,38.82548564,-121.64055563
NA,NA,LFC,NA,84,3,38.82548564,-121.64055563
NA,NA,LFC,NA,88,3,38.82548564,-121.64055563
NA,NA,LFC,NA,92,3,38.82548564,-121.64055563
NA,NA,LFC,NA,111,4,38.83876325,-121.63445457
NA,NA,LFC,NA,115,4,38.83876325,-121.63445457
